Instituição;Cod.IBGE;UF;População;Indicador_1;Nota_1;Indicador_2;Nota_2;Indicador_3;Nota_3;Classificação da CAPAG
Prefeitura Municipal de Altinho - PE;2600807;PE;22959;0,147911855;A;1,026133054;C;50,7643581;C;C
Prefeitura Municipal de Altinópolis - SP;3501004;SP;16164;0,031658042;A;0,91178654;B;0,061666806;A;B
Prefeitura Municipal de Alto Alegre - RR;1400050;RR;15638;;n.d.;1,404873332;C;0,582550697;A;n.d.
Prefeitura Municipal de Alto Alegre - RS;4300554;RS;1663;0,111754403;A;0,833880899;A;0,060739578;A;A
Prefeitura Municipal de Alto Alegre - SP;3501103;SP;4110;0,032019275;A;0,884639025;A;;n.d.;n.d.
Prefeitura Municipal de Alto Alegre do Maranhão - MA;2100436;MA;26839;0,142324443;A;1,032003743;C;;n.d.;n.d.
Prefeitura Municipal de Alto Alegre do Pindaré - MA;2100477;MA;31894;;n.d.;1,135298962;C;0,436774469;A;n.d.
Prefeitura Municipal de Alto Alegre dos Parecis - RO;1100379;RO;13227;0,093303215;A;0,94014772;B;0,028830254;A;B
Prefeitura Municipal de Alto Araguaia - MT;5100300;MT;18703;0,041066483;A;0,927064937;B;4,179255919;C;C
Prefeitura Municipal de Alto Bela Vista - SC;4200754;SC;1948;;n.d.;0,898111862;A;0,216917986;A;n.d.
Prefeitura Municipal de Alto Boa Vista - MT;5100359;MT;;;n.d.;;n.d.;;n.d.;n.d.
Prefeitura Municipal de Alto Caparaó - MG;3102050;MG;5799;0,051490338;A;0,920762749;B;;n.d.;n.d.
Prefeitura Municipal de Alto do Rodrigues - RN;2400703;RN;14326;0,014376876;A;0,985161692;C;1,534654257;C;C
Prefeitura Municipal de Alto Feliz - RS;4300570;RS;3020;0,03027306;A;0,732323137;A;0,018255295;A;A
Prefeitura Municipal de Alto Garças - MT;5100409;MT;11868;0,04029385;A;0,874977608;A;0,097431058;A;A
Prefeitura Municipal de Alto Horizonte - GO;5200555;GO;6218;0,029226441;A;0,820966885;A;0,119833698;A;A
Prefeitura Municipal de Alto Jequitibá - MG;3153509;MG;8333;0,0692906;A;0,915968292;B;0,278626147;A;B
Prefeitura Municipal de Alto Longá - PI;2200301;PI;14268;;n.d.;0,962636711;C;0;n.d.;n.d.
Prefeitura Municipal de Alto Paraguai - MT;5100508;MT;11238;0,115043605;A;0,969405887;C;-0,349811581;C;C
Prefeitura Municipal de Alto Paraíso - PR;4128625;PR;2799;0,095980987;A;0,916871693;B;0,005696815;A;B
Prefeitura Municipal de Alto Paraíso - RO;1100403;RO;20999;0,011262051;A;-4,637856365;A;-0,000968988;C;C
Prefeitura Municipal de Alto Paraíso de Goiás - GO;5200605;GO;7558;0,100053111;A;0,925155419;B;0,028145255;A;B
Prefeitura Municipal de Alto Paraná - PR;4100608;PR;14679;0,091007484;A;0,832268538;A;0,227713483;A;A
Prefeitura Municipal de Alto Parnaíba - MA;2100501;MA;11168;0,029394;A;0,994951871;C;;n.d.;n.d.
Prefeitura Municipal de Alto Piquiri - PR;4100707;PR;9896;0,079549604;A;1,045534283;C;0,494005078;A;C
Prefeitura Municipal de Alto Rio Doce - MG;3102100;MG;11146;0,030991915;A;0,945891887;B;0,03260647;A;B
Prefeitura Municipal de Alto Rio Novo - ES;3200359;ES;7798;0,661947295;B;1,078783564;C;;n.d.;n.d.
Prefeitura Municipal de Alto Santo - CE;2300705;CE;17096;0,223308395;A;1,012450492;C;2,388490561;C;C
Prefeitura Municipal de Alto Taquari - MT;5100607;MT;10557;0,071785601;A;0,873055258;A;;n.d.;n.d.
Prefeitura Municipal de Altônia - PR;4100509;PR;21933;0,082549776;A;0,907707674;B;-3,47968162;C;C
Prefeitura Municipal de Altos - PI;2200400;PI;40440;0,327421223;A;0,983458476;C;0,039333856;A;C
Prefeitura Municipal de Alumínio - SP;3501152;SP;18484;0,668394871;B;0,888730948;A;0,321972783;A;B
Prefeitura Municipal de Alvarães - AM;1300029;AM;15860;0,015356828;A;0,946952405;B;2,495419385;C;C
Prefeitura Municipal de Alvarenga - MG;3102209;MG;3973;0,046318899;A;0,986600632;C;0,842667045;A;C
Prefeitura Municipal de Álvares Florence - SP;3501202;SP;3712;0,117484551;A;0,989367883;C;0;n.d.;n.d.
Prefeitura Municipal de Álvares Machado - SP;3501301;SP;24830;0,073954883;A;0,97966596;C;;n.d.;n.d.
Prefeitura Municipal de Álvaro de Carvalho - SP;3501400;SP;;;n.d.;;n.d.;;n.d.;n.d.
Prefeitura Municipal de Alvinlândia - SP;3501509;SP;3206;0,115811276;A;0,916855241;B;0,081803337;A;B
Prefeitura Municipal de Alvinópolis - MG;3102308;MG;15239;0,118853786;A;0,841847661;A;4,653084453;C;C
Prefeitura Municipal de Alvorada - RS;4300604;RS;209213;0,118971335;A;0,831343974;A;0,62047187;A;A
Prefeitura Municipal de Alvorada - TO;1700707;TO;8427;0,203358247;A;0,744820904;A;0,117504987;A;A
Prefeitura Municipal de Alvorada de Minas - MG;3102407;MG;3606;;n.d.;0,900764554;B;0,249842936;A;n.d.
Prefeitura Municipal de Alvorada do Gurguéia - PI;2200459;PI;5392;;n.d.;1,060622267;C;0,73348851;A;n.d.
Prefeitura Municipal de Alvorada do Norte - GO;5200803;GO;8614;0,135769847;A;0,84468718;A;8,521958524;C;C
Prefeitura Municipal de Alvorada do Sul - PR;4100806;PR;11306;0,117550694;A;0,838912881;A;0,075360921;A;A
Prefeitura Municipal de Alvorada D'Oeste - RO;1100346;RO;14722;0,178569502;A;0,860819469;A;0,99905927;A;A
Prefeitura Municipal de Amajari - RR;1400027;RR;12394;0,031555872;A;0,985710759;C;;n.d.;n.d.
Prefeitura Municipal de Amambai - MS;5000609;MS;38958;0,049100447;A;0,924872841;B;1,938988932;C;C
Prefeitura Municipal de Amapá - AP;1600105;AP;9029;0,322635686;A;0,956377451;C;;n.d.;n.d.
Prefeitura Municipal de Amapá do Maranhão - MA;2100550;MA;6918;0,138798721;A;1,648893782;C;0,004735844;A;C
Prefeitura Municipal de Amaporã - PR;4100905;PR;6181;0,062582151;A;0,910340364;B;0,003246681;A;B
Prefeitura Municipal de Amaraji - PE;2600906;PE;22788;0,289932072;A;1,094410324;C;3,756041017;C;C
Prefeitura Municipal de Amaral Ferrador - RS;4300638;RS;6974;0,146096507;A;0,978273004;C;-1,616712232;C;C
Prefeitura Municipal de Amaralina - GO;5200829;GO;3778;;n.d.;0,928148119;B;0,54982528;A;n.d.
Prefeitura Municipal de Amarante - PI;2200509;PI;17592;0,124852718;A;1,095250568;C;2,377186763;C;C
Prefeitura Municipal de Amarante do Maranhão - MA;2100600;MA;41136;0,11636738;A;1,0448639;C;-0,126091824;C;C
Prefeitura Municipal de Amargosa - BA;2901007;BA;37031;0,692497469;B;0,96435511;C;1,710351677;C;C
Prefeitura Municipal de Amaturá - AM;1300060;AM;11332;0,006493678;A;0,973735578;C;0,099138768;A;C
Prefeitura Municipal de Amélia Rodrigues - BA;2901106;BA;25224;0,628339893;B;1,006547559;C;10,41381675;C;C
Prefeitura Municipal de América Dourada - BA;2901155;BA;16097;0,275478108;A;0,950532363;C;2,417234584;C;C
Prefeitura Municipal de Americana - SP;3501608;SP;237112;0,88217962;B;0,906253236;B;0;n.d.;n.d.
Prefeitura Municipal de Americano do Brasil - GO;5200852;GO;6057;;n.d.;0,971097622;C;0,659932505;A;n.d.
Prefeitura Municipal de Américo Brasiliense - SP;3501707;SP;39962;0,02061161;A;0,977549017;C;0,346668189;A;C
Prefeitura Municipal de Américo de Campos - SP;3501806;SP;5956;0,225652672;A;2,072446001;C;0,451013295;A;C
Prefeitura Municipal de Ametista do Sul - RS;4300646;RS;7416;0,032637723;A;0,794941159;A;0,057126909;A;A
